Coefficient;OTU;Phylum;Class;Order;Family;Genus;Value;Std.Error;DF;t-value;p-value;p.adjust;log10p;Change
Before;Otu000130;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;1.746539667;0.361697284;126;4.828733151;3.91E-06;0.000147413;3.831464467;Increased
M12;Otu000130;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;1.327539069;0.415388819;126;3.19589505;0.001762067;0.016700577;1.777268512;Increased
M6;Otu000130;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;1.433602575;0.385709635;126;3.716792234;0.000302162;0.004824564;2.316541946;Increased
M12;Otu000132;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;2.174279328;0.396245123;126;5.487207802;2.15E-07;1.43E-05;4.845837288;Increased
Before;Otu000133;unclassified;unclassified;unclassified;unclassified;unclassified;2.540533467;0.182520057;126;13.91920155;3.01E-27;1.93E-24;23.71463757;Increased
M12;Otu000133;unclassified;unclassified;unclassified;unclassified;unclassified;5.542600977;0.205531876;126;26.96711137;3.56E-54;3.42E-51;50.46548413;Increased
M3;Otu000133;unclassified;unclassified;unclassified;unclassified;unclassified;4.745947138;0.362282514;126;13.10012755;2.83E-25;1.36E-22;21.86662476;Increased
M6;Otu000133;unclassified;unclassified;unclassified;unclassified;unclassified;12.98297358;0.175866122;126;73.82305037;1.45E-105;2.79E-102;101.5542353;Increased
M6;Otu000146;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae_Sedis;1.405448459;0.471804685;126;2.978877711;0.003471565;0.028535651;1.544612211;Increased
M12;Otu000149;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;0.92494325;0.337579087;126;2.739930538;0.007037629;0.045163709;1.345210398;Increased
M3;Otu000153;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;1.084846992;0.365136795;126;2.971070038;0.00355503;0.028751601;1.541337971;Increased
M6;Otu000154;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;1.577818998;0.471345992;126;3.347475158;0.00107553;0.012695211;1.896360061;Increased
M3;Otu000157;Cyanobacteria;Melainabacteria;Gastranaerophilales;unclassified;unclassified;1.251345239;0.353209413;126;3.542785647;0.000555995;0.00753334;2.123012408;Increased
M6;Otu000157;Cyanobacteria;Melainabacteria;Gastranaerophilales;unclassified;unclassified;1.772425663;0.359989967;126;4.923541833;2.61E-06;0.000106805;3.97140782;Increased
M3;Otu000158;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Anaeroplasma;0.939211759;0.346641298;126;2.709462966;0.00767765;0.047805173;1.320525108;Increased
M12;Otu000169;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;1.621442173;0.481401156;126;3.368172582;0.001004156;0.012227823;1.912650861;Increased
M6;Otu000169;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;1.301991818;0.4499595;126;2.893575572;0.004489496;0.034141462;1.466717884;Increased
M12;Otu000170;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus;1.527119752;0.472714024;126;3.230536169;0.001576337;0.015633364;1.805947573;Increased
M3;Otu000170;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus;1.765168014;0.439560305;126;4.015758461;0.000101144;0.002113954;2.674904547;Increased
M6;Otu000170;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus;2.318459849;0.429269416;126;5.400943471;3.18E-07;1.85E-05;4.731661641;Increased
M3;Otu000171;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;unclassified;0.793440078;0.26767869;126;2.96415108;0.003630535;0.028797971;1.540638116;Increased
M6;Otu000171;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;unclassified;0.73491839;0.262529965;126;2.79936955;0.005926628;0.040682221;1.390595348;Increased
M3;Otu000173;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_1;1.284944468;0.46340466;126;2.772834584;0.006401198;0.042615588;1.37043151;Increased
Before;Otu000175;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;1.13767725;0.341165676;126;3.334676753;0.001122012;0.013083338;1.883281438;Increased
M3;Otu000175;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;1.20149724;0.365836453;126;3.284246911;0.001324078;0.014287473;1.845044578;Increased
M6;Otu000175;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;1.963338383;0.353150578;126;5.559493619;1.54E-07;1.14E-05;4.942265374;Increased
M12;Otu000178;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;1.343406528;0.35154562;126;3.821428716;0.000207378;0.003566352;2.447775769;Increased
M3;Otu000178;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;0.895515037;0.319996939;126;2.798511261;0.005941462;0.040682221;1.390595348;Increased
M6;Otu000178;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;1.240604124;0.315067845;126;3.937577706;0.000135412;0.002631647;2.579772348;Increased
Before;Otu000184;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;0.991698955;0.307382645;126;3.226268529;0.001598191;0.015640772;1.805741824;Increased
M6;Otu000203;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Thalassospira;1.287929796;0.397632664;126;3.238993955;0.001533847;0.015416291;1.812020113;Increased
M3;Otu000205;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae_Sedis;0.843248629;0.298590694;126;2.824095482;0.005513523;0.039203265;1.406677763;Increased
M6;Otu000205;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae_Sedis;0.816359077;0.301900259;126;2.704068822;0.007796314;0.048387447;1.31526729;Increased
M6;Otu000208;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;1.280007667;0.304402522;126;4.204983773;4.91E-05;0.001196469;2.922098432;Increased
Before;Otu000211;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_1;1.032245965;0.377512164;126;2.734338288;0.007151342;0.045560206;1.341414325;Increased
M12;Otu000211;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_1;1.201085065;0.422864631;126;2.840353573;0.005256407;0.037978611;1.420460925;Increased
M3;Otu000211;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_1;1.290626887;0.396113705;126;3.25822326;0.001441184;0.0149952;1.824047735;Increased
Before;Otu000216;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Incertae_Sedis;1.191987635;0.375012416;126;3.178528452;0.001862659;0.017312827;1.761632005;Increased
M6;Otu000216;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Incertae_Sedis;1.397260676;0.394139479;126;3.545091904;0.000551593;0.007526707;2.123395002;Increased
Before;Otu000221;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;1.208318705;0.334692796;126;3.610232187;0.000440021;0.006418575;2.192561411;Increased
