Coefficient;OTU;Phylum;Class;Order;Family;Genus;Value;Std.Error;DF;t-value;p-value;p.adjust;log10p;Change
M3;Otu000499;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;unclassified;1.474548053;0.492362826;125;2.994840342;0.003311216;0.025881959;1.587002862;Increased
M6;Otu000499;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;unclassified;1.499325285;0.521128268;125;2.87707533;0.004721355;0.033631072;1.473259283;Increased
Non Colonized;Otu000508;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;2.699126775;0.459103881;125;5.879119923;3.52E-08;2.49E-06;5.603759119;Increased
Non Colonized;Otu000512;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;1.33105784;0.38006429;125;3.502191278;0.000640672;0.007781905;2.108914091;Increased
Before;Otu000516;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;1.627636132;0.463386217;125;3.512482833;0.000618522;0.007615337;2.118310861;Increased
Before;Otu000548;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;1.592210594;0.555579473;125;2.86585569;0.004881062;0.034025956;1.468189661;Increased
Before;Otu000561;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;1.975285672;0.72881491;125;2.710270667;0.007667739;0.048023212;1.318548799;Increased
M12;Otu000561;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;2.179324803;0.742378591;125;2.935597588;0.003963256;0.029786346;1.525982774;Increased
M6;Otu000561;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;2.164179147;0.663120841;125;3.263627101;0.001418818;0.014217737;1.847169517;Increased
M6;Otu000563;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;1.849372102;0.613250547;125;3.015687654;0.003106358;0.024819902;1.605199934;Increased
