Coefficient;OTU;Phylum;Class;Order;Family;Genus;Value;Std.Error;DF;t-value;p-value;p.adjust;log10p;Change
Before;Otu000197;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Barnesiella;-1.02745406;0.341487829;125;-3.008757483;0.003173123;0.025020855;1.601697852;Decreased
M3;Otu000197;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Barnesiella;-0.981574396;0.337307751;125;-2.910026214;0.004279586;0.03185503;1.496821975;Decreased
M6;Otu000197;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Barnesiella;-1.041279245;0.349774962;125;-2.976997662;0.003496363;0.026865022;1.570812795;Decreased
Before;Otu000199;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;-1.400357708;0.482685068;125;-2.90118299;0.004394265;0.032148166;1.492843795;Decreased
Before;Otu000203;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Thalassospira;-1.385715159;0.48969019;125;-2.82977929;0.005428697;0.036655061;1.435866057;Decreased
Before;Otu000204;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum;-2.174134645;0.505019566;125;-4.305050322;3.34E-05;0.00083263;3.079547823;Decreased
M6;Otu000204;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum;-1.577406373;0.449766033;125;-3.507170965;0.000629863;0.007689446;2.114104924;Decreased
M12;Otu000214;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;-1.322693541;0.455579269;125;-2.903322495;0.004366264;0.032148166;1.492843795;Decreased
Before;Otu000224;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;-1.593543216;0.357054885;125;-4.463020338;1.78E-05;0.000514153;3.28890796;Decreased
M3;Otu000224;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;-1.40046692;0.359582166;125;-3.894706275;0.000159209;0.002794866;2.553639032;Decreased
Before;Otu000226;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum;-0.995933401;0.351594285;125;-2.832621135;0.005383602;0.036472011;1.43804029;Decreased
M6;Otu000227;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;unclassified;-1.671451675;0.453654636;125;-3.684414402;0.000339984;0.004955531;2.304909768;Decreased
