Coefficient;OTU;Phylum;Class;Order;Family;Genus;Value;Std.Error;DF;t-value;p-value;p.adjust;log10p;Change
Colonized;Otu000029;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;1.316098076;0.297467861;128;4.424337039;2.05E-05;0.001020477;2.991196744;Increased
Travel;Otu000083;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;1.256820197;0.302244597;128;4.158288385;5.83E-05;0.001717799;2.765027701;Increased
Colonized;Otu000120;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Sutterella;1.179088664;0.257224018;128;4.583898007;1.07E-05;0.000693875;3.158718968;Increased
Travel;Otu000150;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;1.316863498;0.318202822;128;4.138440666;6.29E-05;0.001773493;2.751170456;Increased
Colonized;Otu000166;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae_Sedis;1.014802351;0.334989291;128;3.029357587;0.002965452;0.034938413;1.456696822;Increased
Colonized;Otu000167;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae_Sedis;1.262868219;0.37542896;128;3.363800756;0.001014615;0.016035866;1.794907582;Increased
Travel;Otu000191;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae_Sedis;0.879016187;0.2886653;128;3.045105135;0.002824528;0.034533857;1.461754914;Increased
Travel;Otu000197;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Barnesiella;0.937530578;0.307533381;128;3.048548993;0.002794546;0.034533857;1.461754914;Increased
Travel;Otu000224;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;1.574845047;0.361676546;128;4.354291331;2.71E-05;0.001169928;2.931840766;Increased
Travel;Otu000227;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;unclassified;1.274381882;0.366858638;128;3.473768229;0.000700832;0.013357028;1.874290174;Increased
Travel;Otu000257;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;1.167450292;0.317200765;128;3.680477543;0.000341792;0.00714455;2.146025103;Increased
Travel;Otu000279;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;1.56323165;0.411465607;128;3.79917938;0.000223366;0.004991076;2.301805846;Increased
Travel;Otu000283;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;1.058862778;0.31636736;128;3.346940648;0.001073032;0.016555348;1.781061693;Increased
Travel;Otu000349;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;0.956777164;0.277007261;128;3.453978651;0.00074955;0.013877391;1.857692166;Increased
Colonized;Otu000357;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;1.402297914;0.335042052;128;4.185438529;5.25E-05;0.001631669;2.78736804;Increased
Travel;Otu000368;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;1.666402651;0.388943963;128;4.284428633;3.57E-05;0.001445583;2.839956967;Increased
Travel;Otu000386;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;1.045510173;0.32878583;128;3.179912505;0.00184811;0.025480321;1.593795114;Increased
Travel;Otu000397;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Sporobacter;1.39138625;0.332576469;128;4.183658134;5.29E-05;0.001631669;2.78736804;Increased
Colonized;Otu000442;Firmicutes;Clostridia;Clostridiales;Family_XIII;unclassified;1.159343317;0.297364919;128;3.898722559;0.000155229;0.003725493;2.428816229;Increased
Travel;Otu000467;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;2.426993254;0.501172936;128;4.842626332;3.63E-06;0.000470447;3.327489171;Increased
Travel;Otu000521;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia;1.92294094;0.567800236;128;3.386650476;0.000940188;0.015262922;1.81636231;Increased
